run_id	source	number_of_data	type_of_labels
20250102_164905	ReviewCritique	20	coarse
20250102_164925	llm_generated_reviews_liang24	100	coarse
20250102_165002	llm_generated_reviews_mine	100	coarse
20250102_165045	llm_generated_reviews_iclr24_liang24	100	coarse
20250102_165143	llm_generated_reviews_iclr24_mine	100	coarse
20250102_165241	ReviewCritique	20	fine
20250102_165256	llm_generated_reviews_liang24	100	fine
20250102_165329	llm_generated_reviews_mine	100	fine
20250102_165409	llm_generated_reviews_iclr24_liang24	100	fine
20250102_165453	llm_generated_reviews_iclr24_mine	100	fine
