review,question,yes,no,explanation
* The authors have included ablation tests to demonstrate the robustness of their approach.,Does the review address Result?,FALSE,TRUE,"This sentence addresses ablation tests, not results."
3) The authors compared the robustness of the NVIB-regularized model with that of a regular transformer and found the former more robust to noisy input.,Does the review address Comparison?,TRUE,FALSE,This sentence discusses a comparison of robustness.
Proposes a novel approach by combining ideas from active learning and human-AI collaboration.,Does the review address Methodology?,TRUE,FALSE,"This sentence presents a new approach, related to methodology."
"Buf if that's the case, then there's a controllable parameter that implicitly controls an entropy constraint and it's no longer clear to me that low-entropy is emerging.",Does the review address Methodology?,TRUE,FALSE,"This sentence talks about a controllable parameter and entropy, related to methodology."
Provide additional feedback with the aim to improve the paper.,Does the review address Result?,FALSE,TRUE,This sentence does not mention specific results.
3) The authors compared the robustness of the NVIB-regularized model with that of a regular transformer and found the former more robust to noisy input.,Does the review address Result?,FALSE,TRUE,"This sentence focuses on comparison, not results."
"To pick just one recent example [1], the results reported (such as F1) appear to be way higher than anything in Table 2 (and that is also true for the baselines reported in [1]).",Does the review address Result?,TRUE,FALSE,"This sentence mentions results, such as F1 scores."
This combined with the baseline I proposed above could lead to a general-purpose pattern-based classifier.,Does the review address Comparison?,TRUE,FALSE,"This sentence suggests a combination with a baseline, indicating comparison."
I am also somewhat confused by the second set of experiments.,Does the review address Experiment?,TRUE,FALSE,This sentence refers to a specific set of experiments.
Comprehensive empirical analysis on multiple datasets and CIR tasks demonstrates the effectiveness over baselines.,Does the review address Analysis?,TRUE,FALSE,"This sentence discusses empirical analysis and effectiveness, related to analysis."
* The approach is straightforward and seems to improve over the pattern-verbalizer approach.,Does the review address Result?,TRUE,FALSE,"This sentence mentions improvement, which corresponds to results."
1) The specific design choices made in adapting the original NVIB to self-attention could benefit from more justification and discussion.,Does the review address Definition/Description/Detail/Discussion/Explanation/Interpretation?,TRUE,FALSE,This sentence calls for justification and discussion.
Among the biggest issues I consider the following:   * Weak baselines: Given the chosen dataset contains much more information than the textual content I would want to see the results of this work compared to the state of the art reported in the literature that looks at the same dataset.,Does the review address Data/Task?,TRUE,FALSE,"This sentence discusses the dataset and comparison to state of the art, related to Data/Task."
"In addition, the proposed approach could include more labels, e.g., from Wikipedia, which may or may not contain the labels of the downstream tasks, and create a larger dataset.",Does the review address Data/Task?,TRUE,FALSE,This sentence talks about including more labels and creating a larger dataset.
* The randomized and mismatched ablations are not very well designed.,Does the review address Ablation?,TRUE,FALSE,This sentence discusses the design of ablation tests.
3) The ablation study in table 5 seemed more like good baselines which is good to have as it shows GBT is more effective when applied to only hard examples.,Does the review address Ablation?,TRUE,FALSE,This sentence describes an ablation study.
Thus the model may require more steps to adapt.,Does the review address Methodology?,TRUE,FALSE,"This sentence suggests steps needed for model adaptation, related to methodology."
I would expect however to compare these results with the other methods on the same set of samples.,Does the review address Result?,FALSE,TRUE,"This sentence suggests comparison, not results."
"Given the closeness with this proposed work of using paraphrases (both negative and positive), some of baselines are necessary for comparison with GBT, especially counterfactual data-augmentation techniques as GBT uses (negative paraphrases in DA i.e., IBH0) Feng et.al., A Survey of Data Augmentation Approaches for NLP  Li  et.al., Data Augmentation Approaches in Natural Language Processing: A Survey 2) Some other, even more simpler baselines could be lower learning rate and training for more number of epochs.",Does the review address Comparison?,TRUE,FALSE,This sentence talks about necessary baselines for comparison.
The proposed method shows consistent performance improvement on the three benchmark datasets for referring expression comprehension.,Does the review address Presentation?,FALSE,TRUE,This sentence does not address presentation aspects.
Claim verification is an important topic with practical significance.,Does the review address Significance?,TRUE,FALSE,This sentence highlights the importance and significance of claim verification.
The approach could inspire more work on human-machine collaboration for efficient system evaluation.,Does the review address Evaluation?,TRUE,FALSE,This sentence suggests the approach could inspire more work on evaluation.
A human study on how well the verification process leveraging only the top-1 search result is required.,Does the review address Result?,FALSE,TRUE,This sentence calls for a human study but does not address results.
After reading the paper a few times I am a bit confused about how the experimental setup supports the claims & conclusions.,Does the review address Experiment?,TRUE,FALSE,This sentence expresses confusion about the experimental setup.
2) The authors presented interesting results from intrinsic evaluation of the attention distributions of such a model pretrained on Wikitext-2 and from evaluating the quality of the representation in linguistic probing and text classification.,Does the review address Evaluation?,TRUE,FALSE,This sentence talks about results from intrinsic evaluation.
Comprehensive empirical analysis on multiple datasets and CIR tasks demonstrates the effectiveness over baselines.,Does the review address Data/Task?,TRUE,FALSE,This sentence mentions empirical analysis on multiple datasets.
Please provide a justification for this.,Does the review address Result?,FALSE,TRUE,"This sentence asks for justification, not results."
"A lot of emphasis in the paper has been on generating explanations; however, only 30 examples have been evaluated which may not provide enough evidence to support the claims of the paper.",Does the review address Evaluation?,TRUE,FALSE,This sentence discusses the evaluation of examples.
1) There are potentially numerous baselines as data augmentation for hard examples has several work.,Does the review address Comparison?,TRUE,FALSE,"This sentence mentions baselines, indicating a comparison."
"It is understandable that the authors were able to only evaluate 1,000 samples to reduce the cost.",Does the review address Evaluation?,TRUE,FALSE,"This sentence discusses the evaluation of 1,000 samples."
1) The specific design choices made in adapting the original NVIB to self-attention could benefit from more justification and discussion.,Does the review address Methodology?,TRUE,FALSE,"This sentence calls for justification and discussion of design choices, related to methodology."
"As reported in the ProgramFC paper, it achieves 60.63 on HoVER 3-hop (as compared to 54.80 of FOLK) and similarly for the FEVEROUS dataset.",Does the review address Result?,TRUE,FALSE,This sentence mentions specific results achieved by ProgramFC.
I would expect however to compare these results with the other methods on the same set of samples.,Does the review address Methodology?,FALSE,TRUE,"This sentence suggests comparison, not methodology."
5) The text in line 293-295 makes the above point a little bit more unclear.,Does the review address Definition/Description/Detail/Discussion/Explanation/Interpretation?,TRUE,FALSE,This sentence refers to specific lines that need clarification.
* The results are neither surprising nor exciting.,Does the review address Result?,TRUE,FALSE,This sentence directly addresses the results.
"To pick just one recent example [1], the results reported (such as F1) appear to be way higher than anything in Table 2 (and that is also true for the baselines reported in [1]).",Does the review address Comparison?,TRUE,FALSE,This sentence discusses the comparison of results and baselines.
The authors use the same setting found during hyper-parameter tuning.,Does the review address Methodology?,TRUE,FALSE,"This sentence mentions the setting used, related to methodology."
"For Chain-of-Thought and Self-Ask baselines, do you provide the retrieved knowledge to verify the sub-claims as done with FOLK?",Does the review address Comparison?,TRUE,FALSE,"This sentence asks about baselines, indicating a comparison."
Discrepancies in the presented results of ProgramFC approach.,Does the review address Methodology?,TRUE,FALSE,"This sentence mentions discrepancies in results, related to methodology."
