review,question,yes,no,explanation
* The authors have included ablation tests to demonstrate the robustness of their approach.,Does the review address Result?,FALSE,TRUE,"It discusses ablation tests, not findings or improvements related to Result."
3) The authors compared the robustness of the NVIB-regularized model with that of a regular transformer and found the former more robust to noisy input.,Does the review address Comparison?,TRUE,FALSE,It mentions comparing the NVIB-regularized model with a regular transformer.
Proposes a novel approach by combining ideas from active learning and human-AI collaboration.,Does the review address Methodology?,TRUE,FALSE,It describes the approach and techniques used in the study.
"Buf if that's the case, then there's a controllable parameter that implicitly controls an entropy constraint and it's no longer clear to me that low-entropy is emerging.",Does the review address Methodology?,TRUE,FALSE,"discusses a controllable parameter and its effect, which relates to the study's approach."
Provide additional feedback with the aim to improve the paper.,Does the review address Result?,FALSE,TRUE,requests additional feedback but does not mention findings or improvements
3) The authors compared the robustness of the NVIB-regularized model with that of a regular transformer and found the former more robust to noisy input.,Does the review address Result?,TRUE,FALSE,It mentions findings about robustness to noisy input.
"To pick just one recent example [1], the results reported (such as F1) appear to be way higher than anything in Table 2 (and that is also true for the baselines reported in [1]).",Does the review address Result?,TRUE,FALSE,mentions results and metrics like F1 scores.
This combined with the baseline I proposed above could lead to a general-purpose pattern-based classifier.,Does the review address Comparison?,TRUE,FALSE,refers to a comparison with a proposed baseline.
I am also somewhat confused by the second set of experiments.,Does the review address Experiment?,TRUE,FALSE,mentions experiments.
Comprehensive empirical analysis on multiple datasets and CIR tasks demonstrates the effectiveness over baselines.,Does the review address Analysis?,TRUE,FALSE,mentions empirical analysis across datasets and tasks.
* The approach is straightforward and seems to improve over the pattern-verbalizer approach.,Does the review address Result?,TRUE,FALSE,"mentions improvement, which relates to Result"
1) The specific design choices made in adapting the original NVIB to self-attention could benefit from more justification and discussion.,Does the review address Definition/Description/Detail/Discussion/Explanation/Interpretation?,TRUE,FALSE,"calls for more justification and discussion, which relates to explanation."
Among the biggest issues I consider the following:   * Weak baselines: Given the chosen dataset contains much more information than the textual content I would want to see the results of this work compared to the state of the art reported in the literature that looks at the same dataset.,Does the review address Data/Task?,TRUE,FALSE,mentions the chosen dataset and its use.
"In addition, the proposed approach could include more labels, e.g., from Wikipedia, which may or may not contain the labels of the downstream tasks, and create a larger dataset.",Does the review address Data/Task?,TRUE,FALSE,"discusses labels and creating a larger dataset, which relates to Data/Task."
* The randomized and mismatched ablations are not very well designed.,Does the review address Ablation?,TRUE,FALSE,critiques the design of ablations.
3) The ablation study in table 5 seemed more like good baselines which is good to have as it shows GBT is more effective when applied to only hard examples.,Does the review address Ablation?,TRUE,FALSE,mentions and evaluates the ablation study.
Thus the model may require more steps to adapt.,Does the review address Methodology?,TRUE,FALSE,"refers to the model's adaptation process, which relates to methodology."
I would expect however to compare these results with the other methods on the same set of samples.,Does the review address Result?,FALSE,TRUE,"discusses a comparison request, not findings or outcomes."
"Given the closeness with this proposed work of using paraphrases (both negative and positive), some of baselines are necessary for comparison with GBT, especially counterfactual data-augmentation techniques as GBT uses (negative paraphrases in DA i.e., IBH0) Feng et.al., A Survey of Data Augmentation Approaches for NLP  Li  et.al., Data Augmentation Approaches in Natural Language Processing: A Survey 2) Some other, even more simpler baselines could be lower learning rate and training for more number of epochs.",Does the review address Comparison?,TRUE,FALSE,discusses baselines necessary for comparison.
The proposed method shows consistent performance improvement on the three benchmark datasets for referring expression comprehension.,Does the review address Presentation?,FALSE,TRUE,"discusses performance improvement, not clarity or structure."
Claim verification is an important topic with practical significance.,Does the review address Significance?,TRUE,FALSE,highlights the practical significance of the topic.
The approach could inspire more work on human-machine collaboration for efficient system evaluation.,Does the review address Evaluation?,TRUE,FALSE,It mentions system evaluation.
A human study on how well the verification process leveraging only the top-1 search result is required.,Does the review address Result?,FALSE,TRUE,"It requests a study, not findings or outcomes."
After reading the paper a few times I am a bit confused about how the experimental setup supports the claims & conclusions.,Does the review address Experiment?,TRUE,FALSE,mentions the experimental setup
2) The authors presented interesting results from intrinsic evaluation of the attention distributions of such a model pretrained on Wikitext-2 and from evaluating the quality of the representation in linguistic probing and text classification.,Does the review address Evaluation?,TRUE,FALSE,discusses intrinsic and quality evaluations.
Comprehensive empirical analysis on multiple datasets and CIR tasks demonstrates the effectiveness over baselines.,Does the review address Data/Task?,TRUE,FALSE,mentions multiple datasets and CIR tasks
Please provide a justification for this.,Does the review address Result?,FALSE,TRUE,It requests justification but does not mention findings or outcomes.
"A lot of emphasis in the paper has been on generating explanations; however, only 30 examples have been evaluated which may not provide enough evidence to support the claims of the paper.",Does the review address Evaluation?,TRUE,FALSE,critiques the evaluation of explanations
1) There are potentially numerous baselines as data augmentation for hard examples has several work.,Does the review address Comparison?,TRUE,FALSE,"mentions baselines, which implies comparison."
"It is understandable that the authors were able to only evaluate 1,000 samples to reduce the cost.",Does the review address Evaluation?,TRUE,FALSE,"discusses the evaluation of 1,000 samples"
1) The specific design choices made in adapting the original NVIB to self-attention could benefit from more justification and discussion.,Does the review address Methodology?,TRUE,FALSE,"refers to design choices and adaptations, which relate to methodology."
"As reported in the ProgramFC paper, it achieves 60.63 on HoVER 3-hop (as compared to 54.80 of FOLK) and similarly for the FEVEROUS dataset.",Does the review address Result?,TRUE,FALSE,mentions specific performance metrics and outcomes.
I would expect however to compare these results with the other methods on the same set of samples.,Does the review address Methodology?,FALSE,TRUE,"discusses comparison, not the approach or techniques used."
5) The text in line 293-295 makes the above point a little bit more unclear.,Does the review address Definition/Description/Detail/Discussion/Explanation/Interpretation?,TRUE,FALSE,"critiques clarity, which relates to explanation."
* The results are neither surprising nor exciting.,Does the review address Result?,TRUE,FALSE,comments on the results' impact.
"To pick just one recent example [1], the results reported (such as F1) appear to be way higher than anything in Table 2 (and that is also true for the baselines reported in [1]).",Does the review address Comparison?,TRUE,FALSE,compares reported results with baselines.
The authors use the same setting found during hyper-parameter tuning.,Does the review address Methodology?,TRUE,FALSE,"mentions the setting used, which relates to methodology."
"For Chain-of-Thought and Self-Ask baselines, do you provide the retrieved knowledge to verify the sub-claims as done with FOLK?",Does the review address Comparison?,TRUE,FALSE,compares baselines with FOLK
Discrepancies in the presented results of ProgramFC approach.,Does the review address Methodology?,FALSE,TRUE,"mentions discrepancies in results, not the approach or techniques used."
I don’t see a justification for doing this.,Does the review address Intuition/Justification/Motivation/Validation?,TRUE,FALSE,explicitly asks for justification
I think the paper does an interesting analysis and makes an interesting point about the problem being studied.,Does the review address Analysis?,TRUE,FALSE,mentions the analysis conducted in the paper
The experiments show that it leads to some performance improvements.,Does the review address Experiment?,TRUE,FALSE,mentions experiments leading to improvements.
A better ablation study could be giving just positive paraphrases (IBH1) and just negative paraphrases (IBH0) 4) Some of the important technical details are unclear.,Does the review address Ablation?,TRUE,FALSE,suggests improvements to the ablation study.
The proposed method shows consistent performance improvement on the three benchmark datasets for referring expression comprehension.,Does the review address Data/Task?,TRUE,FALSE,"mentions benchmark datasets, which relate to the task."
Proposes a novel approach by combining ideas from active learning and human-AI collaboration.,Does the review address Novelty?,TRUE,FALSE,highlights the originality of the proposed approach
Comprehensive empirical analysis on multiple datasets and CIR tasks demonstrates the effectiveness over baselines.,Does the review address Comparison?,TRUE,FALSE,mentions effectiveness compared to baselines.
"Is the approach well motivated, including being well-placed in the literature?",Does the review address Intuition/Justification/Motivation/Validation?,TRUE,FALSE,explicitly asks about motivation and placement in literature
Please provide a justification for this.,Does the review address Intuition/Justification/Motivation/Validation?,TRUE,FALSE,"requests justification, which relates to intuition or validation"
* Conducting an ablation study is a strong aspect of the experimental work as it offers more nuanced insights into what components of the architecture contribute how much  to the overall performance.,Does the review address Presentation?,FALSE,TRUE,"discusses the value of an ablation study, not the clarity or structure of the paper."
"* I believe the authors should have included one more baseline, i.e., the model trained on the 20NG dataset.",Does the review address Comparison?,TRUE,FALSE,suggests adding a baseline for comparison
The weaknesses are minor compared to the contributions.,Does the review address Contribution?,TRUE,FALSE,"compares weaknesses to contributions, indicating a focus on contributions."
* The approach is straightforward and seems to improve over the pattern-verbalizer approach.,Does the review address Methodology?,TRUE,FALSE,"discusses the approach used, which relates to methodology"
